SimpliWoit,15890,1050,02/15/12
aaa,13330,2320,10/28/11
Simpli,13170,758,02/16/12
krisann,7120,910,02/11/12
SimpliWoit,7020,535,01/20/12
odisseus,6840,972,12/02/12
aaa,6250,717,02/11/12
odisseus,5810,697,12/02/12
Luthien,5650,1144,07/07/14
Swede,5640,1247,09/26/11
odisseus,5030,701,12/02/12
krisann,4670,511,02/10/12
sudhish,4630,821,08/27/12
Simpli,4360,203,03/19/12
fooFighter,4355,345,03/30/12
MattP,4350,884,06/22/14
shame,4110,348,01/20/12
krisann,4000,405,02/21/12
odisseus,3960,1024,12/01/12
Luthien,3930,865,07/07/14
BFiend,3670,1143,10/07/11
Swede,3640,900,09/18/11
asdf,3580,469,02/10/12
krisann,3470,415,02/11/12
Simpli,3420,202,02/17/12
BFiend,3410,1385,10/06/11
Lars,3160,386,01/11/12
DougN,3050,1043,10/25/11
MattP,2970,416,06/21/14
TRIEU,2950,355,09/22/11
asdf,2900,505,02/09/12
FockerMan,2780,237,04/11/12
Simpli,2740,153,02/17/12
krisann,2720,200,02/11/12
Luthien,2680,526,07/11/14
Envi,2680,591,05/19/14
WIR,2650,1002,12/06/11
Swede,2550,373,10/25/11
DonaldKing,2540,518,03/31/12
Simpli,2440,172,02/16/12
Joshuajdmk,2350,467,09/24/11
aaa,2320,334,02/11/12
Honk,2270,558,06/24/14
srh,2220,328,12/06/11
aaa,2110,297,02/11/12
Claudia,2100,415,10/25/11
CrazyWayne,2090,397,03/15/12
def,2060,315,11/26/11
odisseus,2050,690,12/01/12
odisseus,2020,171,12/02/12
Luthien,2000,383,07/07/14
TRIEU,1960,397,09/22/11
Simpli,1940,139,02/16/12
asdf,1920,634,02/02/12
aaa,1910,253,02/11/12
MattP,1910,492,06/21/14
Ups,1870,208,02/15/12
asdf,1860,437,02/02/12
def,1860,484,11/26/11
def,1770,432,11/26/11
mw9,1720,125,12/02/12
chris,1720,447,02/28/12
Peterson,1650,551,09/22/11
SimplWoiti,1640,271,12/06/11
vsial,1640,497,11/04/11
Sam,1630,269,02/02/13
aaa,1630,360,10/22/11
asdf,1630,428,02/02/12
Bert,1600,284,09/22/11
King,1560,150,09/22/11
Bertrand,1520,380,09/22/11
TRIEU,1460,275,09/22/11
MattP,1450,180,06/21/14
PacMan,1450,499,09/25/11
Mitch,1450,618,04/09/12
aaa,1440,180,02/11/12
awe,1430,256,04/04/12
Envie,1430,322,05/21/14
aaa,1420,261,10/22/11
awe,1380,216,04/05/12
TRIEU,1360,381,09/22/11
Krapfen,1330,145,09/22/11
sweller,1290,577,01/21/12
asdf,1270,310,02/02/12
aaa,1250,136,02/10/12
Fuckrer,1230,113,04/05/12
tris,1220,205,09/18/11
adfasd,1220,418,06/21/14
Simpli,1210,91,03/06/12
aaa,1200,236,10/22/11
Zero,1190,336,11/14/11
brojam,1180,121,09/27/11
SomethingDude,1170,79,04/13/12
BAM,1120,210,12/06/11
Joshua,1120,217,09/24/11
Honk,1110,297,05/07/14
ysl,1100,311,02/16/12
def,1060,286,11/26/11
Fernando,1060,347,09/18/11
aaa,1050,328,10/22/11
Simpli,1030,88,02/16/12
JoshuaP,1020,175,09/23/11
asdf,1020,197,02/02/12
lolo,990,124,09/22/11
NAIIIN,980,211,12/06/11
Zhiyan,980,292,02/17/12
Bartek,980,355,08/27/11
aaa,970,306,10/22/11
kjhlg,960,161,04/18/12
TRIEU,950,308,09/22/11
Joshuajdmk,930,107,09/24/11
deinemudda,900,113,09/22/11
def,870,367,11/26/11
asdf,860,244,02/02/12
DICKFACE,860,264,09/26/11
ditu,830,247,09/04/11
poop,810,324,07/16/14
dfz,780,240,04/09/12
Eike,730,95,03/21/12
abc,720,68,09/22/11
aaa,710,145,10/22/11
roni,700,154,04/25/13
enno,700,161,04/07/12
adsf,690,132,02/02/12
srs,690,245,01/24/12
ass,680,237,06/13/13
lucid,650,41,09/15/11
klf,650,133,09/19/11
aaa,650,171,10/22/11
cyz,640,193,02/23/13
jam,620,209,10/21/14
enno,620,5225,04/07/12
dude,610,57,08/28/11
Falzar,610,105,05/30/12
Asteroid,610,112,10/05/11
ANALoSNAKE,610,120,09/22/11
610,610,140,09/28/11
Sweller,600,163,01/19/12
Maxi,590,151,10/12/14
jop,570,184,12/06/11
bbb,560,106,10/25/11
ShiterFuck,560,217,04/04/12
fuckero,550,39,03/31/12
Awe,550,162,03/17/12
Awe,540,136,03/17/12
enno,540,1022,04/07/12
oiioi,500,200,10/25/11
PerdHarpley,490,29,04/28/12
uio,490,47,03/15/12
masse,480,34,10/03/11
DougN,480,364,10/25/11
mmm,470,135,12/01/12
Honk,450,89,05/07/14
mmm,450,204,12/01/12
mrnightowl,440,67,09/15/11
grace,440,160,06/26/14
Oscar,440,82,11/05/11
Smitty,440,104,10/11/11
mamasBoy,430,31,10/07/11
JoshuaP,430,182,09/23/11
LoserVille,420,15,06/12/12
FuckerFoo,410,44,04/15/12
amu,410,126,09/16/14
takeru,410,100,10/22/11
enno,410,118,04/07/12
DdntGetTheRules,410,122,05/06/12
CocaCola,400,72,06/17/12
Envi,400,137,05/07/14
god,400,132,11/28/11
caccone,390,59,10/15/11
TocKa,390,93,12/04/11
JoshuaP,390,111,09/23/11
shit,390,117,01/27/12
lipek,390,158,04/27/12
klf,380,53,09/19/11
ronan,380,81,04/19/13
sdfdsf,380,108,03/06/12
Zhiyan,380,110,02/17/12
Michael,370,120,09/30/11
Tony,360,92,11/23/11
mahehs,360,189,05/10/13
MarcoR,360,114,09/24/11
asdf,350,52,11/20/12
LeoSocks,350,69,11/16/13
mmm,350,152,12/01/12
Lonster,350,109,09/24/11
Killer,340,29,01/29/14
Yolo2,340,100,11/05/14
BroskiTimeIsNow,340,38,03/30/12
brian,340,118,11/09/13
jackmehoff,340,113,05/31/13
wowMint,330,18,10/10/11
lll,330,55,04/05/12
doner,330,63,03/16/12
enno,330,171,04/07/12
Brandon,330,175,04/01/12
abbi,320,78,05/29/14
aasdf,320,97,02/16/12
EKpen,320,209,09/10/11
skittles,310,25,09/30/11
Jazzlynn,300,59,10/28/14
Envi,300,102,05/07/14
wowos,290,14,11/15/11
Luthien,290,74,07/05/14
junior,290,19,10/07/11
foobar,280,14,07/02/12
Gila,280,85,10/13/14
cowboy55,280,17,08/15/12
PNEIS,280,42,04/08/12
Joshua,280,84,09/23/11
LovelyDayTodsy,270,29,03/30/12
KillerBee,270,31,11/06/13
Brandon,270,37,04/01/12
nioppels,270,80,02/06/12
mojm,270,110,10/18/11
cacachuete,260,35,09/15/11
SabrinaF,260,67,06/20/12
Nuitari,260,127,10/20/11
ufm,250,44,09/13/14
abc,250,57,11/18/14
mfisher,250,59,09/27/11
bob,250,59,04/07/14
Pic,250,103,04/14/12
Joshua,250,104,09/23/11
Yukiaya,250,173,05/25/12
petter,240,56,11/25/12
Alexander,240,67,08/12/14
ninjasnake,240,64,04/12/14
BALA,240,128,04/25/13
cxcc,240,92,10/15/12
Mitch,240,122,04/09/12
Damner,230,29,01/19/12
dave,230,76,11/18/14
Shiteater925,230,39,10/13/14
pip10000,230,48,06/16/14
fucker,230,41,09/30/11
awe,230,62,04/04/12
kjv,230,63,01/23/12
Joshua,230,104,09/23/11
damn,220,14,12/24/11
Abbi,220,46,07/22/14
Ashton_Corbin,220,58,06/10/13
cowboy55,220,19,03/10/13
foobar,220,30,06/16/12
rafael,220,21,10/03/11
klf,220,25,09/19/11
wotang,220,36,09/29/11
Caccao,220,45,10/15/11
Asteroid,220,51,10/05/11
enno,220,73,04/07/12
Dicks,220,81,09/30/11
matt,220,92,10/17/11
CheckOut,210,17,10/17/11
Envi,210,52,05/07/14
Ashton_Corbin,210,112,06/10/13
loooool,210,53,11/07/11
fisher,210,62,09/30/11
aaa,210,68,10/22/11
Nuitari,210,99,10/20/11
Joshua,210,114,09/23/11
cowboy55,200,11,07/03/12
BALA,200,69,04/25/13
deadMeat,200,14,06/17/12
bummerTown,200,31,10/19/11
lol,200,46,10/12/11
stef,200,48,10/23/11
eli,200,58,02/28/12
aaa,200,62,02/11/12
BabesRUs,190,46,01/15/12
amu,190,66,09/16/14
Alessia,190,65,04/11/13
red_led,190,54,09/06/12
bbbbbb,190,61,11/18/11
